transaction_info,merchant_name,Category,Predicted_Category
JACK'S PAINT & HARDWAR ERANDFONTEIN GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
TopT Randfontein        JHB         GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
STEERS PALEDI            MANKWENG    NZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
STEERS ORMONDE 1        ORMONDE     GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
SHELL 2 FOMISS          JohannesburgZAZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
PnP Lcl Waterglen       Pretoria    GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
SAUSAGE SALOON SOUTHGA  Southgate   ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
TOTAL CLAYVILLE          OLIFANTSFONEWZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
KFC Rosebank Kiosk      Gauteng     GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
GOODBURGER COLL  11670  BLOEMFONTEINFSZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
SHELL BOSKRUIN MOTORS   JohannesburgZAZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Van Heerdens Pharmacy   Centurion   ZAZA,GiftCentral Card Issuer (POS),Healthcare,Healthcare
S2S*Roobort tuck shop   Durban      NLZA,GiftCentral Card Issuer (POS),Tourism,Tourism
SASOL MAQELEPO          Katlehong   ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Game Vosloorus          Gauteng     GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
CCN*Snack Time Cafe     Nelspruit   MPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Shoprite Zebediela      SB039192    LPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Cltx Smith Auto Wheels  Forecourt   GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
BP BEREA                 PRETORIA    GZA,GiftCentral Card Issuer (POS),Tourism,Tourism
PnP Exp Berea           JHB         GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
STEERS WONDERPARK       PRETORIA    GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
FAT CAKE CITY     9408  PRETORIA    GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Nandos Galleria         Kwazulu NataKNZA,GiftCentral Card Issuer (POS),Tourism,Tourism
PIZZA PERFECT ELDO SQU  Centurion   ZAZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
RADICAL GRILLER         Mokopane    ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
STEERS WATERFALL        WATERFALL   KZZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Spar North Point        Gauteng SoutGSZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Spar Oak Cottage 2      Eastern CapeECZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Shoprite Mini Mabopane  SB099653    GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
BISCOTTI TUISNYWERHEID   ELDORAIGNE  NZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
KFC Colefax Vaal Mal    Gauteng     GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Ackerman Boksburg       GP          GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
STR PARKING CT 23       SEA POINT     ZA,GiftCentral Card Issuer (POS),Healthcare,Healthcare
STR PARKING CT 135      CAPE TOWN     ZA,GiftCentral Card Issuer (POS),Tourism,Tourism
STEERS                  PRETORIA    GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Tops Mutsindo           Limpopo     LPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Markham Nelspruit Paza  Nelspruit   MPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
FAT CAKE CITY CARLETON  JOHANNESBURGGPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Spar Three Monkeys      Gauteng SoutGSZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
MrPrice Carltonville 2  CPT         WPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
MR PRICE- VANDERBIJL V  GP          GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
WHITEHOUSE EAST LONDON  EAST LONDON ECZA,GiftCentral Card Issuer (POS),Tourism,Tourism
RGC - CLUB HOUSE        RONDEBOSCH  WCZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
S2S*Greenway Super Sho  Cape Town   WCZA,GiftCentral Card Issuer (POS),Tourism,Tourism
WEST PACK LIFESTYLE MA  MAHIKENG    NWZA,GiftCentral Card Issuer (POS),Tourism,Tourism
BURGER KING MAHIKENG    MAHIKENG    GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
LIQUOR CITY MAFIKENG    MAFIKENG    GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
MTN OAKFIELDS           BENONI      GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
HPY*SK SUPERMARKET      BOKSBURG    GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
HYDRAULICS AVANTGAURD   Sandton CityZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Shell Champion Service  Rivonia     ZAZA,GiftCentral Card Issuer (POS),Transportation,Transportation
PnP Clt Jacaranda       Rietfontein GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
LAWN POWER - NEWLANDS   RANDBURG    GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Nandos Ilanga Mall 2    Mpumalanga  MPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
SHELL ELANDSKUIL        Ventersdorp ZAZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Jumbo Gillwell          Eastern CapeECZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
CHOICE CLOTHING  GILLW  EAST LONDON ECZA,GiftCentral Card Issuer (POS),Tourism,Tourism
PnP Clt Elardus Park    Pretoria EasGPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Apple Tree              Gauteng     GPZA,GiftCentral Card Issuer (POS),Technology,Technology
EXCLUSIVELY FROZEN NAH ONAHOON      ECZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
O Peri Peri Cornwall    Centurion   GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
ELEPHANT AND FRIENDS   *PRETORIA    GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
ENGEN MEDWOOD CONVENIE  Durban      ZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
VODACOM                 Centurion   ZAZA,GiftCentral Card Issuer (POS),Technology,Technology
DIAMOND HOUSE VEREENIG  Vereeniging ZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Tops Ridge              KwaZulu NataKZZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Total Midrand C          GP          GZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
BREWHAHA JBAY     7621  JEFFREYS BAYECZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
KFC Rive10000000154017  Nelspruit   ZAZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
PARKSIDE PRIMARY SCHOO LDURBAN      KNZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
OBC Chicken Dobsonvill  eGP          GZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Yoco   *Dr W van der W  Pretoria    GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
AMAPELEPELE PINETOWN    DURBAN      KZZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Tops Rosslyn            Gauteng NortGNZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Spar Rosslyn            Gauteng NortGNZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
V002-EDG VAAL MALL SB    VanderbijlpGPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
DEBONAIRS *             TEMBISA     GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
KFC MB Robin Acres      Gauteng     GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
MCD Riversands (693)    JohannesburgGPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
DELITE SPICES CC        Tongaat     ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
CHECKMART TONGAAT70401  Tongaat     ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
STARBUCKS FX EASTGATE   Gauteng     GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
DEBONAIR10000000124271  POLOKWANE   ZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
VERONA LIQUORS          JOHANNESBURGGPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Truworths 0162          LP          LPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
MrPriceH North Mall     LP          LPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
PEDROS CHICKEN CRESTA   BLACKHEATH  GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Exclusive Books Mall O  Midrand     ZAZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
FLEX-IT EGINEERING      EPPING      WCZA,GiftCentral Card Issuer (POS),Technology,Technology
BP Simon Vermooten      JHB         WCZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
CX Fresh X Drakenstein  SB087836    WCZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
MARKET KOKORO    10598  RIVONIA     GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
ASTRON ENERGY EERSTERU  PRETORIA    GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
HPY*Mobizone ACS        Pretoria    GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
FAMILY PET CENTRE CENT  CENTURION   GPZA,GiftCentral Card Issuer (POS),Pharmacy,Pharmacy
STORE  &  MORE CENTURI  Centurion   ZAZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
ARKANSAS SPUR           NELSPRUIT   GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
MARTINS BAKERY          DIEP RIVER  WCZA,GiftCentral Card Issuer (POS),Tourism,Tourism
VALUE CO                OAKDENE     GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
WOOLWORTHS              CASTLE ROCK KZZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
S2S*AB S LIQUORS        KwaDukuza LoNLZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
OK EXPRESS BEREA (WATE              GPZA,GiftCentral Card Issuer (POS),Pharmacy,Pharmacy
S2S*G General Dealer 1  Pretoria    GTZA,GiftCentral Card Issuer (POS),Tourism,Tourism
DEPT OF HOME AFFAIRS     PRETORIA    GZA,GiftCentral Card Issuer (POS),Tourism,Tourism
OMAR CALTEX             VEREENIGING GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
BMS BLUFF        77518  Durban      ZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
NANDOS GALLERIA         AMANZIMTOTI KZZA,GiftCentral Card Issuer (POS),Tourism,Tourism
WIMPY GREENACRES         GREENACRES  EZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
FARMAKON APTEEK         Mokopane    ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
BP EERSTERUS             PRETORIA    WZA,GiftCentral Card Issuer (POS),Tourism,Tourism
KFC MB Montana           Gauteng     GZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
MRP SPORT MALL OF AFRI  GP          GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
PnP Crp Springfield     Springfield GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
MANGWANANI SPA   12286  DURBAN      ZNZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Dis-Chem Springfield    KZN         KZZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Blue Basket Foods King  Gauteng     GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
KINGSLEY HEATH BROOKLY  Waterkloof  ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
ENGEN FILLING STATION    BLOEMFONTEI FZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
ELDORAIGNE BOULEVARD    CENTURION   GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
BECKATTO10000000118916  TZANEEN     ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
SPAR THE REEDS          UN          GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
EURO SPORT              Vereeniging ZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
SASOL VEREENIGING F/C    VEREENIGING FZA,GiftCentral Card Issuer (POS),Tourism,Tourism
VAAL PAC          1204  VEREENIGING GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
TV TAKEAWAYS AND BAKER YVEREENIGING GPZA,GiftCentral Card Issuer (POS),Banking,Banking
COTTON ON KIDS CENTURI  PRETORIA    GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
DIRKS MEAT MARKET DAVE  DURBAN      ZNZA,GiftCentral Card Issuer (POS),Banking,Banking
Tops Malelane           Lowveld     MPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
PEP 8693 Greenacres     EC          ECZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Ackermans Greenacres    EC          ECZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
EASTWOODS               PRETORIA    GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
DEBONAIRS CLAYVILLE      CLAYVILLE   GZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
KFC MB Palms            Gauteng     GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
S2S*No jokes tuck shop  PostmansburgNCZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
WEST PACK LIFESTYLE KL  KLERKSDORP  GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
EconoFoods Klerksdorp  2Gauteng     GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
WATER INN BRENTWOOD PA  RBRENTWOOD PRGZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
MUGG AND BEAN MALL OF   JOHANNESBURGGPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
S2S*Welcome Shop        Cape town   WCZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Spar Sandringham        Gauteng SoutGSZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Relay Jeans Elliotdale  EC          ECZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Yoco   *Oasiswater Hei  Heidelberg  GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Tops Nicks EL 2         Eastern CapeECZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
KLIPEILAND DELI  10145  BRONKHORSTSPGPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
KFC Kanyamanzane 68325  Pienaar     ZAZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
MTN STORE NELSPRUIT S/  CNELSPRUIT   GZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
NANDOS ROODEBASIN       ROODEPOORT  GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Nandos Mokopane 2       Limpopo     LPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
BLUEBERRY HILLS (PTY)   Honeydew ExtZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
JIMMYS FISH & CHIPS MO  MONDEOR     GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
BEST OF ASIA            BLOUBERG    WCZA,GiftCentral Card Issuer (POS),Tourism,Tourism
SpecSavers Southgate    Gauteng     GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
ALDO CANAL WALK         CAPETOWN    WCZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
BARGAIN BB              East London ZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
McD The Grove           GP          GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
THE SQUARE RIDGE PHARM APORT ELIZABEECZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Tops Randjes Park       Gauteng     GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
LUCYS PIZZERIA          Krugersdorp ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
ENGEN OUKLIP CONV CNTR  Roodepoort  ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
BLINKWATER VULSTASIE    Middelburg  ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Starbucks FX Clearwate  Gauteng     GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
MTN STORE CLEARWATER     STRUBENSVALENZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Tops Belladonna         Mpumalanga  MPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
HONEST ELECTRIC  12875  MALAMULELE  LPZA,GiftCentral Card Issuer (POS),Transportation,Transportation
Clicks Riverside Mall   NEL         GPZA,GiftCentral Card Issuer (POS),Pharmacy,Pharmacy
USave SAVEMORE BLOEM    SB018302    FSZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
ROSTILI                 KURUMAN     NCZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Yoco   *Vlakfontein Ma  GaMatlala   LPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
NANDOS PETROPORT         PRETORIA    GZA,GiftCentral Card Issuer (POS),Tourism,Tourism
TOTAL PETROPORT         Pretoria    ZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Shoprite Tibanefontein  SB034964    NCZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
MrP - Brooklyn          Pretoria    03ZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Tops Plattekloof        Western CapeWCZA,GiftCentral Card Issuer (POS),Banking,Banking
MTN BLUFF TOWERS SABC   2DURBAN      NZA,GiftCentral Card Issuer (POS),Technology,Technology
GOLDWAGEN SOUTHGATE     Southgate   ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
ENGEN OAK PARK SERVICE  Amanzimtoti ZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Med Leigh Pharmacy      Boksburg    GPZA,GiftCentral Card Issuer (POS),Pharmacy,Pharmacy
S S 2                   JohannesburgGPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
ELBAR TYRES             UN          LPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
DE ROVERS               BRAKPAN     GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
MR FUNTUBBLES GATEWAY   UMHLANGA    ZNZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
MTN GATEWAY              UMHLANGA RIGNZA,GiftCentral Card Issuer (POS),Technology,Technology
CRAZY STORE OR WAVERLE  YWAVERLEY PLZWZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
SHELL DIXIE MOTORS      Port ElizabeZAZA,GiftCentral Card Issuer (POS),Transportation,Transportation
CENTENARY S/S           PORT ELIZABEECZA,GiftCentral Card Issuer (POS),Transportation,Transportation
MERRY PEBBLES RESO9163  SABIE       MPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
CCN*New star superm1    JohannesburgGPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
CALTEX VREDENBURG       Vredenburg  ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
KwikSpar Bayswater      Gauteng SoutGSZA,GiftCentral Card Issuer (POS),Tourism,Tourism
PEP 6450 Boksburg Park  GP          GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Seattle FLM Fourways    Gauteng     GAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
HORSE AND HOUND PUB AN  SPRINGS     GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
NANDOS GIFTING          JohannesburgGPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
NEALS YARD HEALTH SHOP  JohannesburgZAZA,GiftCentral Card Issuer (POS),Healthcare,Healthcare
RIB I BUTCHERY          JohannesburgZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Fishaways Vornavalley   Vornavalley GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Yoco   *Partisan Tradi  JohannesburgGPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
G FOX CAPE TOWN         Goodwood    ZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Ackermans DrieRiviere   GP          GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
PEDROS CHICKEN NORTHME  BENONI      GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
AT CARS VALET CENTRE     VEREENIGING GZA,GiftCentral Card Issuer (POS),Transportation,Transportation
HPY*Top Shop            Vereeniging GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
MULTICHOICE-SKY TV & S  AUMHLANGA    DZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
K&B OK GROCER - ARCH    UNK         NCZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
CHARLIES CAFE           KIMBERLEY   ECZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
INSIG MOTORS BPK CONVE  NVEREENIGING GZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
SUNNINGHILL VILLAGE VE  Sunninghill ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
THE BILTONG BOSS - ARC HNORTH WEST  NWZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Nandos Northmead 2      Gauteng     GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
MOCHACHOS GONUBIE       GONUBIE     ECZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
ShopriteHyper Uitenhag  SB006307    ECZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
V057-EDG MIDLANDS MLL  S PMB        KZZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Yoco   *Fish and Chips  Pretoria    GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
TRANSKEI TARVEN         Vereeniging ZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Ackermans Rosebank      GP          GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
MTN WOODMEAD            Woodmead    ZAZA,GiftCentral Card Issuer (POS),Technology,Technology
BEAUTY ON TAPP          Bryanston   ZAZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
BRAZILIA GATEWAY        UMHLANGA    KZZA,GiftCentral Card Issuer (POS),Healthcare,Healthcare
Yoco   *Harvest Chicke  Soshanguve  GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
PEP CELL 4599 MOKOPANE  LP          LPZA,GiftCentral Card Issuer (POS),Technology,Technology
PEP 6101 Makopane       LP          LPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Exact Lochlogan         Freestate   FSZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
MCD Shallcross (0481)   Durban      KNZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Nandos Newlands West 2  KwaZulu NataKZZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Total Boschkop C         GP          GZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
MTN ILANGA              Nelspruit   ZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
MTN STORE ILANGA MALL    NELSPRUIT   NZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
CHECKSAV10000000115490  PHOENIX     ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Total Stikland C         WC          WZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Builders Bss ProteaGle  JohannesburgGPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
HANET SUPERETTE         JohannesburgGPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
SHELL GOLDEN HIGHWAY    VanderbijlpaZAZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
V AND M MOTORS          PRETORIA    GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
CALTEX                   RICHARDS BA EZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
CULLINAN PHARMACY       CULLINAN    GPZA,GiftCentral Card Issuer (POS),Healthcare,Healthcare
DU PLOOY MELKERY TRUST  Rayton      ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
COSMO-NET (PTY) LTD     JohannesburgZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Tops Mokopane           Gauteng SoutGSZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Shoprite Daspoort       SB007167    GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
MERCEDES BENZ LIFESTYL EPRETORIA    GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
TALLADEGA AUTO CLINI    Pretoria    GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
LiquorShop Mayfield Sq  SB069971    GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
SALEH BBQ TONIGHT LANS DCAPE TOWN   WCZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
ENGEN PTA GARDENS       UN          GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
SASOL RIVIERA PARK      Mafikeng    ZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Much Better             JohannesburgZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
ASHLEY'S KRAAIFONTEIN    KRAAIFONTEI WZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
MARLBOROUGH SERVICE ST AWINDSOR PARKWCZA,GiftCentral Card Issuer (POS),Transportation,Transportation
L026 -Jakaranda         Pretoria    GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
PEP HOME 5848 PTA       MP          MPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
MUGG & BEAN NORWOOD MA  JohannesburgZAZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
DENVER AUTO BODY        Kempton ParkZAZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Boxer Spr Elliotdale 2  Elliotdale  ECZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
SASOL BROMHOF           JohannesburgZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
MTN STORE ANGELO MALL    ANGELO MALL WZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
PRIMI EASTGATE          BEDFORD     GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
PnP Exp Sujee Motors    Benoni SouthGPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
CHOPPIES MOKOPANE 2     Mokopane    ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
PV LIFESTYLE             MOKOPANE    GZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
GULSHAN RESTAURANT      PHOENIX     KNZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Miladys Irene Mall      CPT         WPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
